Step,Disturbance,Output
1,-1,-1.666666666666667
2,-1,-1.666666666666667
3,-2,-7.5
4,-1,-1.666666666666667
5,-2,-7.5
6,-2,-3.333333333333333
7,-3,-10.0
8,-4,-20.0
9,-5,-31.25
10,-5,-35.0
11,-6,-50.0
12,-6,-50.0
13,-7,-50.0
14,-9,90
15,-14,90
16,-13,90
17,-12,90
18,-11,90
19,-11,-50.0
20,-5,-15.0
21,-3,-5.0
22,-4,-20.0
23,-4,-20.0
24,-3,-5.0
25,-5,-31.25
26,-5,-35.0
27,-5,-35.0
28,-8,-50.0
29,-9,-50.0
30,-10,90
31,-11,90
32,-11,90
33,-11,90
34,-10,90
35,-8,-40.0
36,-4,-10.0
37,-3,-5.0
38,-3,-5.0
39,-3,-5.0
40,-3,-5.0
41,-3,-5.0
42,-3,-5.0
43,-2,-3.333333333333333
44,-2,-3.333333333333333
45,-3,-10.0
46,-2,-3.333333333333333
47,-4,-23.75
48,-5,-31.25
49,-6,-50.0
50,-8,-50.0
51,-11,90
52,-11,90
53,-12,90
54,-12,90
55,-12,90
56,-11,90
57,-10,-50.0
58,-7,-20.0
59,-6,-40.0
60,-8,-50.0
61,-10,-50.0
62,-13,90
63,-15,90
64,-15,90
65,-14,90
66,-15,90
67,-14,90
68,-14,90
69,-11,-50.0
70,-9,-30.0
71,-9,-50.0
72,-11,90
73,-13,90
74,-14,90
75,-13,90
76,-13,90
77,-10,90
78,-9,-50.0
79,-5,-15.0
80,-4,-20.0
81,-6,-50.0
82,-10,90
83,-9,90
84,-11,90
85,-11,90
86,-10,90
87,-8,90
88,-5,-31.25
89,-1,-1.666666666666667
90,-1,-1.666666666666667
91,0,0.0
92,-1,-6.249999999999999
93,-1,-1.666666666666667
94,-1,-1.666666666666667
95,-2,-7.5
96,-2,-3.333333333333333
97,-2,-3.333333333333333
98,-2,-3.333333333333333
99,-3,-10.0
100,-2,-3.333333333333333
101,-2,-3.333333333333333
102,-2,-3.333333333333333
103,-3,-10.0
104,-3,-5.0
105,-2,-3.333333333333333
106,-3,-10.0
107,-3,-5.0
108,-3,-5.0
109,-2,-3.333333333333333
110,-2,-3.333333333333333
111,-2,-3.333333333333333
112,-2,-3.333333333333333
113,-3,-10.0
114,-3,-5.0
115,-3,-5.0
116,-4,-20.0
117,-4,-20.0
118,-5,-31.25
119,-7,-50.0
120,-9,90
121,-10,90
122,-11,90
123,-10,90
124,-9,90
125,-6,-40.0
126,-3,-5.0
127,-1,-1.666666666666667
128,-1,-1.666666666666667
129,0,0.0
130,1,1.666666666666667
131,1,1.666666666666667
132,2,3.333333333333333
133,1,6.249999999999999
134,2,3.333333333333333
135,0,0.0
136,0,0.0
137,-2,-11.25
138,-1,-1.666666666666667
139,-1,-1.666666666666667
140,-1,-1.666666666666667
141,-1,-1.666666666666667
142,-2,-7.5
143,-1,-1.666666666666667
144,0,0.0
145,2,3.333333333333333
146,5,15.0
147,5,35.0
148,8,-90
149,8,-90
150,8,-90
151,8,-90
152,8,-90
153,8,-90
154,7,-90
155,6,-90
156,4,20.0
157,-1,-6.666666666666666
158,-2,-7.5
159,-1,-1.666666666666667
160,-2,-7.5
161,-1,-1.666666666666667
162,-1,-1.666666666666667
163,-1,-1.666666666666667
164,-1,-1.666666666666667
165,2,3.333333333333333
166,5,15.0
167,6,-90
168,7,-90
169,8,-90
170,8,-90
171,8,-90
172,7,-90
173,5,35.0
174,3,15.0
175,2,7.5
176,4,20.0
177,5,31.25
178,8,-90
179,9,-90
180,9,-90
181,10,-90
182,6,40.0
183,2,13.33333333333333
184,0,0.0
185,0,0.0
186,1,1.666666666666667
187,1,1.666666666666667
188,1,1.666666666666667
189,1,1.666666666666667
190,1,1.666666666666667
191,0,0.0
192,-1,-6.249999999999999
193,-2,-7.5
194,-2,-3.333333333333333
195,-2,-3.333333333333333
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,1,1.666666666666667
206,2,3.333333333333333
207,3,5.0
208,5,23.75
209,7,-90
210,7,-90
211,7,-90
212,8,-90
213,7,-90
214,6,-90
215,2,13.33333333333333
216,0,0.0
217,-1,-6.249999999999999
218,1,1.666666666666667
219,3,5.0
220,5,23.75
221,8,-90
222,10,-90
223,9,-90
224,8,-90
225,8,-90
226,9,-90
227,10,-90
228,9,-90
229,8,-90
230,5,35.0
231,2,13.33333333333333
232,0,0.0
233,0,0.0
234,0,0.0
235,0,0.0
236,-1,-6.249999999999999
237,-2,-7.5
238,-3,-10.0
239,-3,-5.0
240,-3,-5.0
241,0,0.0
242,3,5.0
243,7,-90
244,7,-90
245,5,-90
246,4,-90
247,6,-90
248,9,-90
249,10,-90
250,9,-90
251,6,-90
252,4,-90
253,3,-90
254,1,-90
255,-1,-6.666666666666666
256,-1,-1.666666666666667
257,-3,-15.0
258,-4,-20.0
259,-2,-3.333333333333333
