Step,Disturbance,Output
1,-2,0
2,-2,0
3,-2,0
4,-1,0
5,-1,0
6,-1,0
7,-1,0
8,-2,0
9,-1,0
10,-2,0
11,-2,0
12,-2,0
13,-1,0
14,-2,0
15,-1,0
16,-2,0
17,-2,0
18,-1,0
19,-2,0
20,0,0
21,-1,0
22,-2,0
23,-2,0
24,-2,0
25,-3,0
26,-3,0
27,-3,0
28,-3,0
29,-2,0
30,-2,0
31,-2,0
32,-3,0
33,-1,0
34,-2,0
35,-2,0
36,-2,0
37,-2,0
38,-1,0
39,-1,0
40,-1,0
41,-1,0
42,-2,0
43,-3,0
44,-3,0
45,-3,0
46,-3,0
47,-4,2.783093333333333
48,-4,2.791573333333333
49,-5,3.766903333333333
50,-4,2.814373333333334
51,-4,2.824613333333334
52,-5,3.809023333333333
53,-4,2.852133333333334
54,-5,3.839308333333333
55,-5,3.853033333333333
56,-5,3.868108333333333
57,-6,4.965950000000001
58,-6,4.986350000000001
59,-6,5.007650000000001
60,-8,7.314217500000001
61,-10,9.952235
62,-12,11.929955
63,-13,12.937275
64,-15,60
65,-16,60
66,-15,60
67,-15,60
68,-16,60
69,-15,60
70,-16,60
71,-16,60
72,-16,60
73,-15,60
74,-15,60
75,-15,60
76,-15,60
77,-16,60
78,-15,60
79,-14,60
80,-14,60
81,-13,60
82,-13,12.98713
83,-11,11.110745
84,-10,10.195595
85,-8,7.594012500000002
86,-7,6.422337500000001
87,-8,7.646855000000001
88,-9,60
89,-9,60
90,-10,60
91,-11,60
92,-10,60
93,-8,7.674455000000001
94,-5,4.243363333333334
95,-3,0
96,-4,3.235973333333334
97,-5,4.269553333333334
98,-7,6.543436250000001
99,-8,7.780542500000001
100,-8,7.807682500000001
101,-7,6.622825000000001
102,-8,7.865930000000001
103,-9,9.20334375
104,-9,9.241379999999999
105,-9,9.275006249999999
106,-9,9.308081249999999
107,-10,10.744975
108,-10,10.782675
109,-10,10.831425
110,-10,10.878225
111,-9,9.524171249999998
112,-8,8.2420375
113,-7,7.0281
114,-6,5.888400000000001
115,-6,5.910300000000001
116,-7,7.096147500000001
117,-6,5.955000000000001
118,-6,5.975700000000001
119,-7,7.169838750000001
120,-7,7.190532500000001
121,-6,6.0395
122,-7,7.238423750000001
123,-6,6.081950000000001
124,-7,7.28744375
125,-7,7.310395000000001
126,-7,7.335603750000001
127,-6,6.170250000000001
128,-6,6.189750000000001
129,-6,6.205350000000001
130,-5,5.010748333333334
131,-5,5.026723333333333
132,-5,5.039098333333333
133,-5,5.054173333333333
134,-5,5.067898333333333
135,-5,5.083648333333334
136,-5,5.096248333333333
137,-5,5.110423333333333
138,-4,4.007013333333333
139,-5,5.135623333333333
140,-5,5.150923333333333
141,-5,5.163748333333333
142,-5,5.177248333333333
143,-5,5.188948333333333
144,-4,4.077933333333333
145,-3,0
146,-3,0
147,-3,0
148,-2,0
149,-1,0
150,0,0
