Step,Disturbance,Output
1,-3,0
2,-3,0
3,-3,0
4,-3,0
5,-3,0
6,-3,0
7,-3,0
8,-3,0
9,-2,0
10,-4,2.779093333333333
11,-3,0
12,-4,2.785493333333334
13,-4,2.794773333333334
14,-4,2.803733333333334
15,-4,2.812533333333334
16,-4,2.825173333333333
17,-4,2.833653333333333
18,-5,3.816943333333334
19,-5,3.829543333333334
20,-5,3.843718333333333
21,-4,2.880253333333334
22,-4,2.890333333333333
23,-4,2.899613333333333
24,-4,2.906973333333333
25,-4,2.915613333333333
26,-3,0
27,-3,0
28,-3,0
29,-2,0
30,-3,0
31,-2,0
32,-3,0
33,-2,0
34,-2,0
35,-2,0
36,-2,0
37,-2,0
38,-2,0
39,-2,0
40,-2,0
41,-3,0
42,-3,0
43,-3,0
44,-2,0
45,-2,0
46,-2,0
47,-3,0
48,-2,0
49,-2,0
50,-1,0
51,-1,0
52,-3,0
53,-2,0
54,-2,0
55,-2,0
56,-3,0
57,-3,0
58,-3,0
59,-2,0
60,-2,0
61,-2,0
62,-3,0
63,-3,0
64,-3,0
65,-3,0
66,-3,0
67,-3,0
68,-4,2.922493333333333
69,-5,3.913063333333333
70,-5,3.928813333333333
71,-5,3.940963333333333
72,-6,5.0532
73,-6,5.068200000000001
74,-7,6.187880000000001
75,-7,6.209702500000001
76,-7,6.231901250000001
77,-9,8.715181249999999
78,-9,8.7466025
79,-9,8.780228749999999
80,-11,11.140905
81,-12,90
82,-12,90
83,-12,90
84,-13,90
85,-12,90
86,-12,90
87,-11,11.169505
88,-10,10.240705
89,-9,8.919572499999999
90,-9,8.951544999999999
91,-9,8.99344
92,-10,10.39547
93,-11,11.397655
94,-11,11.434835
95,-12,90
96,-13,90
97,-13,90
98,-13,90
99,-13,90
100,-13,90
101,-12,90
102,-12,90
103,-11,11.469155
104,-10,10.542305
105,-8,7.898877500000001
106,-5,4.421473333333334
107,-5,4.435198333333334
108,-6,5.601750000000001
109,-7,6.762198750000001
110,-9,90
111,-9,90
112,-10,90
113,-10,90
114,-10,90
115,-9,90
116,-8,8.004907500000002
117,-6,5.656150000000001
118,-4,3.467533333333334
119,-2,0
120,-2,0
121,-3,0
122,-3,0
123,-4,3.474893333333334
124,-6,5.692850000000002
125,-6,5.709050000000001
126,-7,6.879803750000002
127,-7,6.902002500000002
128,-6,5.766900000000001
129,-8,8.187815000000001
130,-8,8.213575000000002
131,-7,6.997355000000002
132,-8,8.261990000000001
133,-7,7.042988750000001
134,-8,8.314487500000002
135,-7,7.092062500000001
136,-8,8.365605000000002
137,-9,9.722927500000001
138,-8,8.422185000000002
139,-9,9.787056250000001
140,-9,9.819028750000001
141,-10,11.277455
142,-10,11.316455
143,-9,9.93822125
144,-10,11.398095
145,-10,11.436445
146,-10,11.481945
147,-9,10.08534375
148,-9,10.12282875
149,-8,8.798522500000001
150,-7,7.553183750000001
151,-7,7.574253750000001
152,-7,7.599838750000002
153,-6,6.415450000000002
154,-6,6.432850000000002
155,-5,5.218198333333333
156,-5,5.231923333333334
157,-5,5.243848333333334
158,-5,5.259148333333334
159,-4,4.137773333333334
160,-4,4.145933333333334
161,-4,4.156173333333334
162,-4,4.164973333333334
163,-3,0
164,-3,0
165,-4,4.170733333333335
166,-3,0
167,-4,4.177933333333335
168,-4,4.187053333333335
169,-4,4.196013333333335
170,-4,4.207533333333334
171,-4,4.219693333333335
172,-3,0
173,-3,0
174,-3,0
175,-3,0
176,-2,0
177,0,0
178,-1,0
179,0,0
180,1,0
181,1,0
182,1,0
183,2,0
184,1,0
185,2,0
186,2,0
187,2,0
188,2,0
189,1,0
190,-1,0
191,-1,0
192,-1,0
193,-2,0
194,-2,0
195,-1,0
196,-1,0
197,-2,0
198,-2,0
199,-1,0
200,-2,0
201,-1,0
202,0,0
203,0,0
204,1,0
205,2,0
206,3,0
207,4,-1.332573333333332
208,5,-2.124853333333332
209,6,-90
210,7,-90
211,7,-90
212,8,-90
213,8,-90
214,8,-90
215,7,-90
216,7,-90
217,6,-90
218,5,-2.133853333333332
219,3,0
220,2,0
221,-1,0
222,-1,0
223,0,0
