Step,Disturbance,Output
1,-2,0
2,-2,0
3,-2,0
4,-2,0
5,-2,0
6,-1,0
7,-2,0
8,-1,0
9,-1,0
10,-2,0
11,-1,0
12,-1,0
13,-1,0
14,-2,0
15,-2,0
16,-2,0
17,-2,0
18,-3,0
19,-3,0
20,-3,0
21,-1,0
22,-3,0
23,-4,3.938272727272726
24,-4,3.2214
25,-5,4.223329245283019
26,-4,3.073836206896552
27,-5,4.220730158730159
28,-5,4.0815
29,-4,3.132609677419355
30,-5,4.26615
31,-5,4.12465
32,-5,4.14315
33,-5,4.1579
34,-5,4.1739
35,-4,3.209861403508774
36,-5,4.377871428571429
37,-4,3.228481818181818
38,-4,3.4209
39,-4,3.4319
40,-4,3.4443
41,-5,4.439868181818182
42,-5,4.2723
43,-5,4.2858
44,-6,5.287185185185185
45,-5,4.174322463768116
46,-4,3.364583333333333
47,-5,4.481828947368421
48,-5,4.3645
49,-5,4.38075
50,-5,4.39475
51,-5,4.40925
52,-4,3.460359677419356
53,-4,3.63325
54,-4,3.64905
55,-4,3.65945
56,-4,3.67285
57,-4,3.68305
58,-4,3.69465
59,-4,3.70705
60,-4,3.71865
61,-4,3.73085
62,-3,0
63,-3,0
64,-4,3.74305
65,-4,3.75425
66,-5,4.7265
67,-5,4.5855
68,-5,4.599
69,-4,3.652869841269843
70,-4,3.8224
71,-5,4.796880158730157
72,-5,4.6529
73,-5,4.667149999999999
74,-6,5.642600000000001
75,-5,4.551334848484847
76,-7,6.647130645161289
77,-7,6.3424
78,-9,8.330786363636365
79,-9,7.9937
80,-12,10.95421578947368
81,-13,60
82,-13,60
83,-15,60
84,-16,60
85,-16,60
86,-15,60
87,-19,60
88,-15,60
89,-12,60
90,-11,60
91,-11,60
92,-12,60
93,-12,60
94,-11,60
95,-11,60
96,-11,60
97,-11,60
98,-12,60
99,-12,60
100,-12,60
101,-12,60
102,-11,60
103,-11,60
104,-9,7.527234210526321
105,-6,5.180046721311476
106,-5,4.71066140350877
107,-5,4.90235
108,-5,4.91685
109,-5,4.9316
110,-5,4.94585
111,-4,3.971464814814814
112,-4,4.168050000000001
113,-5,5.147234426229509
114,-5,4.9968
115,-6,5.958945070422537
116,-6,5.835800000000001
117,-7,6.839885185185188
118,-7,6.675000000000001
119,-7,6.697750000000001
120,-7,6.720150000000001
121,-8,7.715763793103449
122,-6,5.581891509433962
123,-6,5.976050000000001
124,-6,5.991650000000001
125,-5,5.019964814814813
126,-5,5.2219
127,-5,5.23615
128,-5,5.2549
129,-5,5.26915
130,-4,4.352771052631581
131,-5,5.489657692307693
132,-6,6.259495070422537
133,-5,5.1784
134,-7,7.224407894736841
135,-6,6.002911403508774
136,-6,6.19725
137,-6,6.21555
138,-7,7.200834426229509
139,-7,7.0593
140,-7,7.077850000000001
141,-8,8.050377536231887
142,-7,6.9716
143,-6,6.182215573770493
144,-7,7.344321428571426
