Step,Disturbance,Output
1,-1,0
2,-1,0
3,-1,0
4,-1,0
5,-1,0
6,-2,0
7,-1,0
8,-2,0
9,-2,0
10,-2,0
11,-3,0
12,-2,0
13,-3,0
14,-2,0
15,-3,0
16,-3,0
17,-3,0
18,-3,0
19,-4,3.951540740740742
20,-5,4.157132278481012
21,-4,3.12155
22,-4,3.26055
23,-3,0
24,-4,3.26995
25,-3,0
26,-2,0
27,-3,0
28,-5,4.286281632653062
29,-4,3.13875
30,-2,0
31,-2,0
32,-3,0
33,-3,0
34,-2,0
35,-3,0
36,-3,0
37,-2,0
38,-2,0
39,-1,0
40,-2,0
41,-1,0
42,-1,0
43,-1,0
44,-1,0
45,-1,0
46,-2,0
47,-1,0
48,-1,0
49,-1,0
50,-3,0
51,-2,0
52,-3,0
53,-2,0
54,-2,0
55,-3,0
56,-2,0
57,-3,0
58,-3,0
59,-3,0
60,-3,0
61,-3,0
62,-3,0
63,-3,0
64,-4,3.304
65,-4,3.3142
66,-4,3.326
67,-5,4.334828431372548
68,-5,4.153
69,-5,4.16825
70,-5,4.1815
71,-6,5.166166666666667
72,-6,5.019300000000001
73,-6,5.0349
74,-6,5.054100000000001
75,-7,6.055168181818182
76,-7,5.896450000000001
77,-7,5.915000000000001
78,-8,6.924879245283018
79,-9,7.712177536231884
80,-11,9.580465384615387
81,-12,90
82,-13,90
83,-13,90
84,-14,90
85,-14,90
86,-14,90
87,-14,90
88,-13,90
89,-12,90
90,-11,9.2173
91,-11,9.24535
92,-10,8.298411403508773
93,-11,9.488735185185186
94,-10,8.349231818181821
95,-14,90
96,-15,90
97,-14,90
98,-13,90
99,-12,90
100,-12,90
101,-12,90
102,-10,90
103,-9,90
104,-8,90
105,-7,5.431464285714283
106,-6,5.16904230769231
107,-5,4.369518367346936
108,-4,3.615908474576272
109,-4,3.796
110,-4,3.8084
111,-5,4.810329245283019
112,-5,4.634399999999999
113,-7,6.548405072463769
114,-8,7.275028431372549
115,-8,7.10215
116,-8,7.12415
117,-10,90
118,-12,90
119,-12,90
120,-12,90
121,-11,90
122,-8,7.14055
123,-3,0
124,-1,0
125,-2,0
126,-3,0
127,-3,0
128,-4,2.92270897435899
129,-4,3.95955
130,-5,4.988441304347825
131,-4,3.796664814814816
132,-5,4.940445070422536
133,-5,4.81335
134,-3,0
135,-2,0
136,-3,0
137,-3,0
138,-2,0
139,-2,0
140,-3,0
141,-1,0
